company_id,main_type,sub_type,short_name,trading_date,price_high,price_low,close_price,open_price,trade_volume,share_volume,turnover,return_1d,return_5d,return_20d,sma_10,sma_20,sma_50,close_sma10_ratio,close_sma20_ratio,close_sma50_ratio,rsi_14,macd,macd_signal,macd_histogram,volatility_20,volume_ratio,turnover_ratio,trade_volume_ratio,future_return_30,target_up
CCS,N,0.0,COLD STORES,2021-03-19,616.0,610.0,611.5,611.5,18,315.0,192613.25,-0.0137096774193548,-0.0137096774193548,-0.0787193973634651,621.75,634.675,672.085,0.983514274225975,0.9634852483554576,0.9098551522500874,34.01905217475819,-15.037829813550616,-15.646137133123531,0.6083073195729174,0.0183461422914398,0.0224790463175397,0.0223918345131498,0.7894736842105263,-0.0040883074407195,0
LIOC,N,0.0,LANKA IOC,2021-03-19,19.6,19.0,19.1,19.1,73,35532.0,677422.7,-0.0205128205128204,-0.0637254901960783,-0.0591133004926107,20.17,20.705,22.982,0.946950917203768,0.922482492151654,0.8310851971107824,36.49025822120128,-0.8918081159333973,-0.8400775368773712,-0.051730579056026,0.0334343794597478,0.3543119824100434,0.3234989555712952,1.168,2.8219895287958114,1
LLUB,N,0.0,CHEVRON,2021-03-19,90.0,86.6,86.9,86.9,374,2104052.0,185129653.4,-0.0246913580246912,-0.0655913978494623,-0.1501222493887529,92.72,96.3875,103.996,0.937230371009491,0.9015691868758916,0.8356090618869957,26.93718597035885,-4.163250808742205,-3.551183742848354,-0.6120670658938514,0.0186597951742055,10.901465159047875,10.42955493657408,1.7342916763273823,0.4182968929804372,1
COMB,N,0.0,COMMERCIAL BANK,2021-03-19,86.7,85.1,86.5,86.5,124,91288.0,7834779.0,0.0081585081585082,-0.0046029919447642,-0.0192743764172336,86.54,86.89,88.711,0.9995377859949156,0.9955115663482564,0.9750763715886418,47.221795628545365,-0.6724767291741927,-0.7173079942004374,0.0448312650262447,0.0180673783380423,0.1301865684705581,0.1288601975220924,0.5539423721241903,-0.0520231213872832,0
JKH,N,0.0,JKH,2021-03-19,149.0,147.5,147.75,147.75,128,258120.0,38161612.25,-0.0016891891891891,-0.0133555926544239,-0.0544,148.825,151.3625,155.503,0.9927767512178736,0.9761334544553636,0.950142440981846,40.73541841737115,-2.2398511647327557,-2.0820859262614384,-0.1577652384713168,0.0131630134302398,0.2879897657193437,0.2795709457393027,0.6210577389616692,0.0693739424703891,1
CCS,N,0.0,COLD STORES,2021-03-22,620.0,611.5,613.25,613.25,13,236.0,144779.5,0.0028618152085035,-0.044037412314887,-0.0743396226415094,622.075,632.2125,670.25,0.9858136076839608,0.9700061292682444,0.9149571055576278,35.16772659297661,-15.049041032247374,-15.526717912948303,0.4776768807009297,0.0184045949009423,0.0168561796468773,0.016848081862806,0.5816554809843401,-0.0338361190379127,0
LIOC,N,0.0,LANKA IOC,2021-03-22,19.5,19.1,19.5,19.5,36,90100.0,1748940.5,0.0209424083769633,-0.025,-0.1371681415929204,20.04,20.55,22.924,0.9730538922155688,0.948905109489051,0.8506368871052173,40.37655389115598,-0.8809829599134495,-0.8482586214845869,-0.0327243384288626,0.0204506956091291,1.229874623768931,1.1618234054969137,0.6533575317604355,2.5435897435897434,1
COMB,N,0.0,COMMERCIAL BANK,2021-03-22,86.9,86.0,86.4,86.4,134,80914.0,7000401.1,-0.0011560693641617,-0.0148232611174458,-0.020408163265306,86.69,86.8,88.773,0.9966547467989388,0.9953917050691246,0.9732688993274984,46.93519500006631,-0.6444370081101312,-0.7027337969823763,0.0582967888722451,0.0180664712642443,0.1169436733254493,0.1167223509119767,0.6041478809738503,-0.0671296296296297,0
JKH,N,0.0,JKH,2021-03-22,150.25,148.0,150.0,150.0,121,926186.0,138877603.75,0.015228426395939,0.0135135135135135,-0.0625,148.95,150.8625,155.511,1.0070493454179257,0.9942828734775044,0.9645619923992516,46.36999695771258,-2.0345695320829407,-2.072582647425739,0.0380131153427982,0.0123470630042646,1.0603776384476624,1.0489245882541074,0.6048487878030492,0.0466666666666666,1
LLUB,N,0.0,CHEVRON,2021-03-22,90.5,89.0,89.8,89.8,128,43455.0,3902470.3,0.0333716915995396,-0.0333692142088267,-0.1302663438256659,92.17,95.715,103.63,0.9742866442443312,0.9382019537167632,0.8665444369391103,35.53147237936527,-4.1147201705337295,-3.663891028385429,-0.4508291421483004,0.0204940143676924,0.2252918412002292,0.220371002864589,0.5866177818515124,0.3669265033407572,1
